video_id,title,duration,date,playlist_name,dict_sentiment,best_date,view_count,like_count,sentimentr_score,finbert_score,ollama_score
-dBVvma084w,Why China Stocks and Bonds are Under Pressure | Bloomberg: The China Show 7/9/2024,5161.48,NA,Bloomberg The China Show,-0.427509293680297,2024-07-09T05:27:27Z,12149,81,0.115935730123314,0.0368190705776215,0.2
-eNy7yfhv0A,Bloomberg Markets: The Close 02/22/2024,5736.47399999983,NA,Bloomberg The Close (Full Shows),-0.2,2024-02-23T00:36:21Z,19903,157,0.0640059822908463,0.412531465291977,0.8
-jyak_JDPv4,Fed Speak | Bloomberg Surveillance 05/20/2024,8757.8629999997,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.327014218009479,2024-05-20T17:36:05Z,24419,124,0.0242281259025358,0.815302297472954,0.4
-lr2VhT-H58,Bloomberg Open Interest 08/29/2024,5071.97,NA,Bloomberg Open Interest,-0.299319727891156,2024-08-29T18:13:12Z,5344,41,0.0999940231984174,-0.241084396839142,0.2
-n-1vXqunKY,CPI Report | Bloomberg Surveillance 12/13/2022,8359.55000000001,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.619210977701544,2022-12-13T19:17:13Z,74162,299,0.0555512057183939,0.694600537419319,-0.5
-oWfTCZ2yoI,Buy or Sell the Rally? | Bloomberg Surveillance 07/31/2023,8571.04299999973,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.281173594132029,2023-07-31T17:37:58Z,29038,136,0.0427974514110528,0.61503478884697,0.45
-p9QN9JgvdU,"Nvidia Shares Hit New High, Starmer Says UK Won’t Raise Capital Gains Tax | The Opening Trade 10/15",5670.41499999982,NA,The Opening Trade,-0.448717948717949,2024-10-15T12:04:11Z,6703,57,0.0360318316029094,0.333068341016769,0.2
-qEwPiMoUCI,Take a Breath Wall Street | Bloomberg Surveillance 01/09/2024,8636.09899999974,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.569553805774278,2024-01-09T17:09:50Z,26602,202,0.022115110222721,0.0107384193688631,0.2
-vzASrJ_crM,"Yields Higher, Stocks Lower | Bloomberg Surveillance 08/03/2023",8703.7179999997,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.48051948051948,2023-08-03T17:05:16Z,27388,142,0.0272728935245026,0.562892317771912,0.2
-yW_Xdsv05o,"Stocks, Commodity Currencies Drop on Trump Tariff Fears | Bloomberg: The China Show 2/10/2025",5439.74999999986,NA,Bloomberg The China Show,-0.336787564766839,2025-02-10T11:47:47Z,8220,82,0.0353441284799513,0.710656277835369,0.2
0-h05MRtsRo,Big Tech Earnings | Bloomberg Surveillance 04/24/23 FULL EPISODE,8676.9459999997,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.425837320574163,2023-04-24T17:25:20Z,43054,130,0.0364426690312242,0.226212408393621,0.2
01ZQq9Es8xU,Bloomberg Surveillance 07/18/2024,8236.86899999972,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.497907949790795,2024-07-18T17:06:41Z,17243,119,0.0201174605187815,0.756107442080975,0.5
03lwpyRL5nI,Fed Day | Bloomberg Surveillance 09/18/2024,8758.6559999997,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.566929133858268,2024-09-18T15:21:10Z,13144,110,0.029699783084934,0.731174327433109,0.2
06-WAS2i8Z4,Bloomberg Open Interest 07/16/2024,4990.591,NA,Bloomberg Open Interest,-0.106870229007634,2024-07-17T10:27:33Z,7489,51,0.104829711137416,-0.0140743143856525,0.5
09zOZK0LflM,"Market Outlook Post-CPI and a Tech Breakdown | Bloomberg Surveillance | September 13, 2024",19425.415,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.302663438256659,2024-09-16T10:18:14Z,5366,23,0.209015862369651,0.851430241018534,0.2
0FLZSgOXVjs,Stoxx 600 Hits Record as Inflation Data Lifts Rate Hopes | The Opening Trade (08/30/2024),5394.515,NA,The Opening Trade,-0.423312883435583,2024-08-30T12:11:26Z,2652,29,0.068102051276169,0.625274367630482,0.3
0FmckVdlC6k,Wall Street Sends Big Tech to Fresh Highs Post-CPI | Bloomberg: The Close 12/11/2024,5189.03899999992,NA,Bloomberg The Close (Full Shows),-0.466666666666667,2024-12-11T23:55:39Z,13436,107,0.056212405767921,0.0742702782154083,0.7
0GUKrV0fQpo,Bloomberg Surveillance 01/12/2024,8749.15699999978,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.322033898305085,2024-01-12T16:38:43Z,48526,257,0.0451998769656401,0.519900761544704,0.2
0GW3kNl3kyc,Blinken Begins Tense Talks in China | Bloomberg: The China Show 4/25/2024,5087.526,NA,Bloomberg The China Show,-0.261992619926199,2024-04-25T05:51:02Z,15184,110,0.120837716444061,0.0295390114188194,-0.5
0HuqIYEV14w,Stocks Halt Fed-Fueled Rally as Trade Fear Lingers | Bloomberg: The Close 03/20/2025,4227.8679999999,NA,Bloomberg The Close (Full Shows),-0.155963302752294,2025-03-20T22:25:27Z,12307,134,0.0546212110091909,0.137799009680748,-0.4
0Kmb6d2g_RU,"Middle East Risks | Bloomberg Surveillance | April 15, 2024",19770.3529999999,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.283842794759825,2024-04-15T17:05:36Z,1132,9,0.166201222686175,0.77021374553442,0.2
0Ld9aG6VXTw,"Tech Outages Roil Banks, Airlines; Crowdstrike Shares Plunge | The Opening Trade 07/19",5643.81699999983,NA,The Opening Trade,-0.406593406593407,2024-07-19T11:14:21Z,6135,31,0.0275308333975023,0.735066883265972,0.2
0P1xM6NPyhc,US Jobs Day | Bloomberg Surveillance 01/10/2025,8768.56899999968,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.434380776340111,2025-01-10T15:49:39Z,25357,161,0.0279260953930112,0.585283823311329,0.2
0SBbCfKIMcQ,Stock Rotation Is Back on Bets Fed Will ‘Go Big’ | Bloomberg: The Close 9/13/2024,5458.75899999986,NA,Bloomberg The Close (Full Shows),-0.386454183266932,2024-09-13T23:20:55Z,19907,189,0.0485420439919923,0.703646447509527,0.2
0Tpvo6pPwU4,Is China's Economic Recovery Losing Steam? | Bloomberg: The China Show 6/17/2024,5302.85199999999,NA,Bloomberg The China Show,-0.394117647058824,2024-06-17T10:05:46Z,4900,37,0.0876914032421664,0.0244430266320705,-0.7
0bDfP8Ne2Jg,Israel Hits Hezbollah; Harris Zeroes In On Running Mate | Bloomberg: The Asia Trade 7/29/24,5220.59099999999,NA,The Asia Trade,-0.375722543352601,2024-07-29T06:29:09Z,3279,23,0.0669753866347177,-0.0279167294502258,0.4
0gtRJzc8YoI,Sell the Rate Hike? | Bloomberg Surveillance 04/21/23,8640.8939999997,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.564356435643564,2023-04-21T17:27:44Z,37763,121,0.0115917566156744,0.33982191234827003,-0.4
0jbpzdbQE4M,Bloomberg Open Interest 07/10/2024,4868.66,NA,Bloomberg Open Interest,-0.351063829787234,2024-07-10T19:07:05Z,6545,48,0.0999197953648402,-0.311897248029709,0.7
0jc2WnS9WWc,Apple Unveils iPhone 16; Asian Stocks Fluctuate Ahead of US CPI | Bloomberg: The Asia Trade 9/10/24,5433.58699999984,NA,The Asia Trade,-0.286173633440514,2024-09-10T03:46:45Z,4752,37,0.0569471240355782,0.0408944711089134,0.2
0lUCYMgxyuA,Burberry Suspends Dividend Payments After Poor Q1 | The Opening Trade (07/15/2024),5706.58099999983,NA,The Opening Trade,-0.352112676056338,2024-07-15T14:09:32Z,2775,23,0.0427291902182826,0.610422536730766,0.2
0nhLFSgYniA,Testing New Lows? | Bloomberg Surveillance 05/09/23,8748.01099999973,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.540041067761807,2023-05-09T17:58:52Z,44769,208,0.00944972241435013,0.144067797809839,-0.7
0pT7podVXq8,US Stocks Pull Back After Rally | Bloomberg Markets: The Close 03/25/2024,5169.29699999999,NA,Bloomberg The Close (Full Shows),-0.368421052631579,2024-03-25T22:58:39Z,13065,127,0.103933256547102,0.0523829609155655,0.4
0qe8n4s0ics,"Retailers Prepare for Black Friday, France's Budget Standoff |The Opening Trade 11/29",5700.65399999983,NA,The Opening Trade,-0.387387387387387,2024-11-29T12:29:59Z,9566,55,0.0457701265935701,0.655003108084202,0.2
0qjCRmwBJsk,Diageo Hit By Latin America Slump as Drinkers Spend Less | The Opening Trade 07/30,5634.42799999983,NA,The Opening Trade,-0.226190476190476,2024-07-30T12:51:26Z,5830,46,0.0517235927912978,0.453336879611015,0.4
0x7y8ze_XM8,CPI Data Meets The Bank Crisis | Bloomberg Surveillance | 03/14/2023,8624.61899999999,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.450236966824645,2023-03-14T18:22:41Z,82628,227,0.0650167660127253,0.524450208991766,0.2
0xu-E9R2fJ4,"The Jobs Report | Bloomberg Surveillance | June 7, 2024",19480.3510000001,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.411513859275053,2024-06-07T20:02:22Z,8739,58,0.203640902820516,0.825151018798351,0.2
1-IQGZE_j5I,German Election Countdown: Pollsters Struggle to Predict Outcome | The Opening Trade 02/21,11269.082,NA,The Opening Trade,-0.294520547945205,2025-02-21T12:13:18Z,4146,36,0.178312273782522,0.551340624690056,0.5
16fezmhDuyk,China to Begin Selling Ultra-Long Debt This Week | Bloomberg: The China Show 5/13/2024,5208.006,NA,Bloomberg The China Show,-0.353951890034364,2024-05-13T05:21:40Z,15259,154,0.10572119247971,0.35840816795826,-0.3
18_IK3qh0yg,Stocks Show Signs of Exhaustion After Rally | Bloomberg: The Close 6/20/2024,5422.59399999986,NA,Bloomberg The Close (Full Shows),-0.336170212765957,2024-06-20T23:25:56Z,8958,105,0.0472835201997911,0.39951752871275,0.2
18yXOwYdBYI,Bloomberg Surveillance 02/12/2025,8579.76499999969,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.458536585365854,2025-02-12T15:57:02Z,13837,152,0.0262517478158867,0.717681087553501,0.2
1E5E14T99hk,"Bugatti Unveils New $4 Million 'Tourbillon', French Economy Weakens Again | Markets Today 06/21",5499.83099999986,NA,The Opening Trade,-0.450381679389313,2024-06-21T11:11:23Z,2160,23,0.0341422796488402,0.544719725847244,0.5
1FyZ8T59ySs,A Time for Caution | Bloomberg Surveillance 05/24/23,8602.06599999975,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.595959595959596,2023-05-24T19:09:23Z,28039,158,0.0180956847081075,0.690646670758724,-0.5
1GeZxGNjzCw,Huge Day of Earnings | Bloomberg: The Close 07/30/2024,5475.54099999985,NA,Bloomberg The Close (Full Shows),-0.483050847457627,2024-07-30T23:52:34Z,16986,152,0.0452884690370537,0.0569647215306759,0.2
1I2Mm-AapEk,"Politics, Tech and NYC Congestion Pricing | Bloomberg Surveillance | January 6, 2025",18197.301,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.298969072164948,2025-01-06T18:35:43Z,8111,18,0.142378132394541,0.817596949636936,0.4
1JIWbbKt1JY,Trump Tariff Threats; Israel-Hamas Exchange Delayed | Horizons Middle East & Africa 01/31/2025,5176.77099999999,NA,"Horizons Middle East, Africa",-0.542521994134897,2025-01-31T08:53:15Z,3708,31,0.059235013193182,-0.48310974240303,0.2
1OREGDMPQTQ,"Bitcoin Tops $81,000, Kremlin Denies Putin-Trump Phone Call | The Opening Trade 11/11",5476.55599999984,NA,The Opening Trade,-0.21481481481481501,2024-11-11T13:23:40Z,39810,86,0.0391717792794864,0.676882922649384,0.4
1Q9ogi4cj2c,"Rio Tinto, Glencore Said to Discuss Mega Mining Deal | Bloomberg: The Asia Trade 1/17/25",5236.22600000001,NA,The Asia Trade,-0.251497005988024,2025-01-17T03:39:19Z,5029,40,0.0892380902750888,0.0917005240917206,0.2
1R9kDknakfA,Bloomberg Surveillance 04/11/2024,8163.97599999973,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.565557729941292,2024-04-11T15:38:06Z,17492,144,0.00849403795810748,0.669580549001694,0.2
1WGWYOzh4U0,"Fed Blackout Begins | Bloomberg Surveillance | June 3, 2024",19146.64,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.287598944591029,2024-06-03T22:26:39Z,8811,54,0.230911481835304,0.853926613926888,0.3
1YDt2JpI9-Y,Fed Preview | Bloomberg Surveillance 11/01/2022,7714.26,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.572815533980582,2022-11-01T17:39:49Z,61996,201,0.0617024845691113,0.7691411934793,0.2
1YzP1J_wdGQ,Bloomberg Surveillance 01/29/2024,8737.67799999968,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.475538160469667,2024-01-29T17:32:29Z,26901,230,0.0266473835461984,0.623440593481064,0.15
1Zz6uGYQ40k,Bloomberg Open Interest 11/12/2024,4880.092,NA,Bloomberg Open Interest,-0.184615384615385,2024-11-12T18:10:31Z,3322,34,0.0891592583832131,-0.261362224817276,0.2
1aXFW89kGDw,Banking Breakdown | Bloomberg Surveillance 03/17/2023,8679.83799999971,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.523584905660377,2023-03-17T17:50:14Z,103515,333,0.0244015036483642,0.75254587084055,0.2
1bcsF32J7Mk,Trump Tariff Selloff | Bloomberg: The Close 04/03/2025,6200.41599999981,NA,Bloomberg The Close (Full Shows),-0.64367816091954,2025-04-03T23:43:09Z,15937,169,0.0242122694024312,0.0222340598702431,-0.7
1cXeH60rDdk,Bloomberg Open Interest 11/01/2024,5044.49000000001,NA,Bloomberg Open Interest,-0.274074074074074,2024-11-01T17:46:13Z,7208,62,0.088870696064569,-0.262751564383507,0.2
1hAjo_ChVTw,"Next Fed Move Today, Hezbollah Blames Israel for Lebanon Pager Blasts | The Opening Trade 09/18",5639.93299999985,NA,The Opening Trade,-0.466101694915254,2024-09-18T12:02:54Z,3218,38,0.0252336782896889,0.732638422399759,0.2
1jFPE2HvCG0,"China Targets 5% GDP Growth in 2025, Trump Addresses Congress | Bloomberg: The Asia Trade 3/5/25",5327.26300000001,NA,The Asia Trade,-0.351351351351351,2025-03-05T04:57:20Z,7349,110,0.0791227447796219,0.0591452717781067,0.4
1k0xQ1JyPak,"Trump Sets 25% Auto Tariffs, Teases China Reprieve | Bloomberg: The China Show 3/27/2025",5138.898,NA,Bloomberg The China Show,-0.261648745519713,2025-03-27T05:57:54Z,12160,112,0.12787543584526,0.049499124288559,-0.4
1niWXSlcqxo,PDD's Warning Drags China Tech Stocks Down | Bloomberg: The China Show 8/27/2024,5174.338,NA,Bloomberg The China Show,-0.465798045602606,2024-08-27T04:38:09Z,12975,130,0.111625911744719,0.0798276141285896,-0.4
1rN-kKSSZbE,"Bank Earnings Begin | Bloomberg Surveillance | October 11, 2024",18405.236,"| October 11, 2024",Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.432291666666667,2024-10-11T16:51:00Z,7198,33,0.159688126205287,0.793830931186676,0.4
1s9mOSE5ftk,Bloomberg Surveillance 09/04/2024,8718.6419999997,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.451546391752577,2024-09-04T15:07:13Z,26486,145,0.0441439035801726,0.0538066970184445,0.2
1tfYA8sMeYk,S&P 500 Posts Three-Day Win Streak | Bloomberg Markets: The Close 6/04/2024,5426.60899999985,NA,Bloomberg The Close (Full Shows),-0.23728813559322,2024-06-04T23:21:53Z,8925,93,0.0531979526545321,0.00566977076232433,0.2
1uhpKTXSjQA,"Israel, Hezbollah Agree to 60-Day Cease-Fire | Horizons Middle East & Africa 11/27/2024",5127.43299999999,NA,"Horizons Middle East, Africa",-0.625377643504532,2024-11-27T09:14:49Z,1624,8,0.0577267141165404,0.00944121927022934,0.2
2-mfqVZek0A,Bloomberg Surveillance 02/23/2024,8401.41200000001,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.398576512455516,2024-02-23T17:27:36Z,45625,302,0.0716171331124068,0.651370070874691,0.4
27K8sRWTYgM,China Stocks Dip As Traders Await BOJ Decision | Bloomberg: The China Show 6/14/2024,5085.263,NA,Bloomberg The China Show,-0.363984674329502,2024-06-14T05:39:14Z,5352,66,0.0974062028786301,0.50618539750576,0.2
2A9hdmGxSOI,Jobs Data | Bloomberg Surveillance 08/30/2023,8774.78699999969,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.463736263736264,2023-08-30T16:53:11Z,22657,126,0.0183936157870918,0.770404413342476,0.2
2CMpLn4LNLg,Stocks Keep Winning | Bloomberg Surveillance 10/12/2023,8777.68999999967,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.54251012145749,2023-10-12T17:38:34Z,24790,158,0.00333188121189846,0.693340167403221,-0.4
2DpanVK3q2o,What Happened To China's Stock Rally? | Bloomberg: The China Show 3/22/2024,5069.91799999999,NA,Bloomberg The China Show,-0.132867132867133,2024-03-22T06:29:23Z,14647,107,0.100769381105256,-0.881345797330141,0.4
2GU6mt5TUZI,"France in Flux and Bitcoin $100K | Bloomberg Surveillance | December 5, 2024",18648.024,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.466970387243736,2024-12-05T18:13:38Z,2937,20,0.175801740538597,0.694230183959007,0.5
2GhO3SIPDVM,Presidential Debate Tonight | Bloomberg: The Close 9/10/2024,4950.63099999987,NA,Bloomberg The Close (Full Shows),-0.339622641509434,2024-09-10T22:51:52Z,11738,79,0.0490111576694988,0.0571208465844393,-0.7
2J8RzZmX8dA,"OPEC+ Extends Oil Output Cuts, Indian Shares Rally | Markets Today 06/03/2024",5707.64599999986,NA,The Opening Trade,-0.211864406779661,2024-06-03T11:19:07Z,4323,37,0.0629330033505702,0.371845692396164,0.3
2Lgmpo_21Bk,Bloomberg Surveillance 09/05/2024,8712.71099999969,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.618320610687023,2024-09-05T15:21:51Z,30682,157,0.0146393082756451,0.459949754178524,0.2
2MJLaBpgGQ4,Bloomberg Open Interest 10/29/2024,4915.313,NA,Bloomberg Open Interest,-0.287272727272727,2024-10-29T19:19:28Z,4032,34,0.0971548299261607,0.710824176669121,0.2
2NGIHdUztwA,China Protests | Bloomberg Surveillance 11/28/2022,7486.86999999999,NA,"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",-0.639024390243902,2022-11-28T18:13:53Z,16555,91,0.0281915959510281,0.623168498277664,-0.45
2NHKVQIuX1w,Trump Tariffs: ‘Big Progress’ on Japan Trade Talks | The Opening Trade 04/17,5623.85699999984,NA,The Opening Trade,-0.286307053941909,2025-04-17T10:50:08Z,11664,114,0.0506170855932629,0.771646276116371,0.2
2Q7TYP6NpxE,HK Stocks Slump on China Data; Investors Split on Fed Cut | Bloomberg: The China Show 9/16/24,5092.30199999999,NA,Bloomberg The China Show,-0.544554455445545,2024-09-16T05:28:50Z,10019,81,0.0897324754756123,0.38729465007782,0.2
2SzcLMRU0lI,Bloomberg Open Interest 10/28/2024,4897.79300000001,NA,Bloomberg Open Interest,-0.279352226720648,2024-10-28T17:15:34Z,3408,46,0.0897158348898214,0.316490396857262,0.2
2TXnB4AWPPY,"HK Stocks Streak Set to End, Segantii Said to Shut Down | Bloomberg: The China Show 24/5/2024",5096.491,NA,Bloomberg The China Show,-0.34412955465587,2024-05-24T05:23:31Z,8988,67,0.114621219787833,0.0418990701436996,-0.3
2WohB0wFBWM,Nvidia Becomes World's Largest Company | Bloomberg: The Close 6/18/2024,5365.51299999986,NA,Bloomberg The Close (Full Shows),-0.144144144144144,2024-06-18T23:36:57Z,20886,184,0.0617618578209049,0.72271763533353806,0.7
2YhLw8wWWeU,China Evaluating US Talks; Australia & Singapore Vote | Bloomberg: The Asia Trade 5/2/25,5300.298,NA,The Asia Trade,-0.335329341317365,2025-05-02T03:39:12Z,9923,105,0.0639839738996183,0.0805346667766571,0.4
2a2xpV7SivI,"Tencent's Stock Buyback, Apple's Big Push in China | Bloomberg: The China Show 3/21/2024",5117.97899999999,NA,Bloomberg The China Show,-0.175257731958763,2024-03-21T05:52:59Z,10281,74,0.097902537914671,0.496364802122116,0.7
2eUrTN32qTI,Bloomberg Surveillance 10/24/2024,8585.6609999997,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.459821428571429,2024-10-24T15:28:19Z,12494,105,0.0228025599069435,-0.0374579727649689,0.2
2hwG5RnI6ps,Bloomberg Surveillance 04/28/2025,8552.62699999971,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.445161290322581,2025-04-28T15:08:30Z,13874,152,0.0269684730495149,0.770576201379299,0.2
2jRK273kjhw,"Jobs Day | Bloomberg Surveillance | May 3, 2024",19758.42,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.386221294363257,2024-05-03T18:11:38Z,16242,61,0.167188473930516,0.344356819987297,0.7
2kPws4fhZOY,Trump's Threats; Nvidia's Stock Slide | Horizons Middle East & Africa 01/08/2025,5094.23200000001,NA,"Horizons Middle East, Africa",-0.344262295081967,2025-01-08T08:24:10Z,6097,24,0.0757867544693714,-0.494008094072342,-0.4
2l9mXGmn140,"Nvidia Aftermath | Bloomberg Surveillance | August 29, 2024",18829.889,NA,Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,-0.378016085790885,2024-08-29T17:37:47Z,9403,39,0.182562453953771,0.167073020711541,0.4
2nGq1t7BYY0,Pennsylvania Gov. Josh Shapiro Contends for Kamala Harris' VP Pick | The Opening Trade 07/23,5695.43699999982,NA,The Opening Trade,-0.297124600638978,2024-07-23T12:49:35Z,15734,113,0.038580801621878,0.662507206201553,0.2
2osDy8IQ93E,"Elon Musk Turns on Farage, China Pushes back Against Yuan Weakness | The Opening Trade 01/06",5675.60999999985,NA,The Opening Trade,-0.363295880149813,2025-01-06T12:00:05Z,8717,64,0.030899770683309902,0.699712127447128,0.2
2pBXbAyOlQQ,Bloomberg Surveillance 12/24/2024,8553.8199999997,NA,"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",-0.207349081364829,2024-12-24T18:56:41Z,18729,168,0.0481945874565645,0.31507009267807,0.2
